" eine "," 1 ",1
" ein "," 1 ",1
" zwei ","2 ",1
" drei ","3 ",1
" vier ","4 ",1
" fünf ","5 ",1
" sechs ","6 ",1
" sieben ","6 ",1
" acht ","6 ",1
" neun ","6 ",1
" zehn ","6 ",1
"Eine "," 1 ",1
"Ein "," 1 ",1
"Zwei ","2 ",1
"Drei ","3 ",1
"Vier ","4 ",1
"Fünf ","5 ",1
"Sechs ","6 ",1
"Sieben ","6 ",1
"Acht ","6 ",1
"Neun ","6 ",1
"Zehn ","6 ",1
"ei","ai",0.2
"äu","eu",0.5
"Hallo ","Halo ",1
"ie","i",0.6
"ich","i",1
"n","m",0.3
"ck","k",0.6
"en ","m ",0.2
"nicht ","nit ",0.5
"von ","vong ",1
"t","d",0.2
"wenn ","weng ",1
"die ","dem ",0.8
"ß","s",0.6
"ss","s",0.6
"warum ","warung ",1
"bist ","bimst ",1
"v","f",0.5
"k","ck",0.25
"v","w",0.5
"eh","ee",0.4
"aber ","abba ",0.7
"sind ","simd ",1
"et","@",1
"ät","@",1
"habe ","han ",1
"hab ","han ",1
"e","ä",0.05
